,failure count,model
0,1156,ST12000NM0007
1,402,ST4000DM000
2,225,ST8000NM0055
3,125,ST8000DM002
4,80,TOSHIBA MQ01ABF050
5,57,HGST HMS5C4040BLE640
6,43,ST500LM012 HN
7,31,HGST HUH721212ALN604
8,27,ST500LM030
9,22,TOSHIBA MQ01ABF050M
10,17,HGST HMS5C4040ALE640
11,12,ST10000NM0086
12,11,WDC WD5000LPVX
13,10,TOSHIBA MG07ACA14TA
14,10,ST6000DX000
15,10,ST12000NM0008
16,8,HGST HUH728080ALE600
17,5,ST12000NM0117
18,5,HGST HUH721212ALE600
19,2,WDC WD5000LPCX
20,1,ST8000DM005
21,1,ST8000DM004
22,1,Seagate BarraCuda SSD ZA500CM10002
23,1,TOSHIBA HDWF180
24,1,WDC WD60EFRX
